timezone_gap,timezone_code,timezone_name_e,zone_id
-12:00,IDL,International Date Line West,
+13:00,WST,Samoa,
-11:00,UTC,Coordinated Universal Time-11,
-10:00,HAST,Aleutian Islands,
-10:00,HST,Hawaii,
-09:30,MART,Marquesas Islands,
-09:00,AKST,Alaska,
-09:00,UTC,Coordinated Universal Time-09,
-07:00,MST,Yukon,
-08:00,PST,Baja California,
-08:00,UTC,Coordinated Universal Time-08,
-08:00,PST,Pacific Time (US & Canada),
-07:00,MST,Arizona,
-07:00,MST,Chihuahua - La Paz - Mazatlan,
-07:00,MST,Mountain Time (US & Canada),
-05:00,EST,Chetumal,
-06:00,CST,Central America,
-06:00,CST,Central Time (US & Canada),
-06:00,EAST,Easter Island,
-06:00,CST,Guadalajara - Mexico City - Monterrey,
-06:00,CST,Saskatchewan,
-05:00,COT,Bogota - Lima - Quito - Rio Branco,
-05:00,EST,Eastern Time (US & Canada),
-05:00,EST,Haiti,
-05:00,CST,Havana,
-05:00,EST,Indiana (East),
-05:00,EST,Turks and Caicos,
-04:00,VET,Caracas,
-03:00,CLST,Punta Arenas,
-04:00,PYT,Asuncion,
-04:00,EDT,Atlantic Time (Canada),
-04:00,AMT,Cuiaba,
-04:00,GYT,Georgetown - La Paz - Manaus - San Juan,
-04:00,CLT,Santiago,
-03:30,NST,Newfoundland,
-03:00,BRT,Araguaina,
-03:00,BRT,Brasilia,
-03:00,GFT,Cayenne - Fortaleza,
-03:00,ART,City of Buenos Aires,
-03:00,WGT,Greenland,
-03:00,UYT,Montevideo,
-03:00,PMST,Saint Pierre and Miquelon,
-03:00,BRT,Salvador,
-02:00,UTC,Coordinated Universal Time-02,
-01:00,AZOT,Azores,
-01:00,CVT,Cabo Verde Is.,
+00:00,UTC,Coordinated Universal Time,
+00:00,UTC,Dublin - Edinburgh - Lisbon - London,
+00:00,UTC,Monrovia - Reykjavik,
+01:00,WEST,Casablanca,
+01:00,CET,Amsterdam - Berlin - Bern - Rome - Stockholm - Vienna,
+01:00,CET,Belgrade - Bratislava - Budapest - Ljubljana - Prague,
+01:00,CET,Brussels - Copenhagen - Madrid - Paris,
+01:00,CET,Sarajevo - Skopje - Warsaw - Zagreb,
+01:00,WAT,West Central Africa,
+02:00,EET,Tripoli,
+02:00,CAT,Windhoek,
+02:00,EET,Athens - Bucharest,
+02:00,EET,Beirut,
+02:00,EET,Cairo,
+02:00,EET,Chisinau,
+02:00,EET,Gaza - Hebron,
+02:00,CAT,Harare - Pretoria,
+02:00,EET,Helsinki - Kyiv - Riga - Sofia - Tallinn - Vilnius,
+02:00,IST,Jerusalem,
+02:00,CAT,Juba,
+02:00,EET,Kaliningrad,
+02:00,CAT,Khartoum,
+03:00,EEST,Damascus,
+03:00,EEST,Amman,
+03:00,TRT,Istanbul,
+03:00,MSK,Minsk,
+03:00,AST,Baghdad,
+03:00,AST,Kuwait - Riyadh,
+03:00,MSK,Moscow - St. Petersburg,
+03:00,EAT,Nairobi,
+03:00,MSK,Volgograd,
+04:00,SAMT,Astrakhan - Ulyanovsk,
+04:00,SAMT,Izhevsk - Samara,
+04:00,MSK,Saratov,
+03:30,IRST,Tehran,
+04:00,GST,Abu Dhabi - Muscat,
+04:00,AZT,Baku,
+04:00,MUT,Port Louis,
+04:00,GET,Tbilisi,
+04:00,AMT,Yerevan,
+04:30,AFT,Kabul,
+05:00,TMT,Ashgabat - Toshkent,
+05:00,YEKT,Ekaterinburg,
+05:00,PKT,Islamabad - Karachi,
+05:00,QYZT,Qyzylorda,
+05:30,IST,Chennai - Kolkata - Mumbai - New Delhi,
+05:30,SLST,Sri Jayawardenepura,
+05:45,NPT,Kathmandu,
+06:00,ALMT,Nur-Sultan,
+06:00,BST,Dhaka,
+06:00,OMST,Omsk,
+07:00,KRAT,Barnaul - Gorno-Altaysk,
+07:00,NOVT,Novosibirsk,
+07:00,KRAT,Tomsk,
+06:30,MMT,Yangon (Rangoon),
+07:00,ICT,Bangkok - Hanoi - Jakarta,
+07:00,HOVT,Hovd,
+07:00,KRAT,Krasnoyarsk,
+08:00,CST,Beijing - Chongqing - Hong Kong - Urumqi,
+08:00,IRKT,Irkutsk,
+08:00,MYT,Kuala Lumpur - Singapore,
+08:00,AWST,Perth,
+08:00,CST,Taipei,
+08:00,ULAT,Ulaanbaatar,
+09:00,YAKT,Chita,
+09:00,KST,Pyongyang,
+08:45,ACWST,Eucla,
+09:00,JST,Osaka - Sapporo - Tokyo,
+09:00,KST,Seoul,
+09:00,YAKT,Yakutsk,
+09:30,ACST,Adelaide,
+09:30,ACST,Darwin,
+10:00,AEST,Brisbane,
+10:00,AEST,Canberra - Melbourne - Sydney,
+10:00,ChST,Guam - Port Moresby,
+10:00,AEST,Hobart,
+10:00,VLAT,Vladivostok,
+11:00,BST,Bougainville Island,
+11:00,MAGT,Magadan,
+11:00,SAKT,Sakhalin,
+10:30,LHST,Lord Howe Island,
+11:00,SRET,Chokurdakh,
+11:00,NFT,Norfolk Island,
+11:00,SBT,Solomon Is. - New Caledonia,
+12:00,ANAT,Anadyr - Petropavlovsk-Kamchatsky,
+12:00,NZST,Auckland - Wellington,
+12:00,UTC,Coordinated Universal Time+12,
+12:00,FJT,Fiji,
+12:00,PETT,Petropavlovsk-Kamchatsky - Old,
+12:45,CHAST,Chatham Islands,
+13:00,UTC,Coordinated Universal Time+13,
+13:00,TOT,Nuku'alofa,
+14:00,LINT,Kiritimati Islan,